央视频道,#genre#
山东卫视,https://hlsbkmgsplive.miguvideo.com/wd-shandonghd-1200/01.m3u8?&HlsSubType=&encrypt=
辽宁卫视,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/liaoningwshd/2000/01.m3u8?msisdn=0975853ca82b1ab6f58d01b61d362c2d&mdspid=&spid=600572&netType=0&sid=5910022198&pid=2028597139&timestamp=20260905051000&Channel_ID=0116_2600034600-99000-201600010024797&ProgramID=630291707&ParentNodeID=-99&assertID=5910022198&client_ip=58.144.197.32&SecurityKey=20260905051000&promotionId=&mvid=5101043014&mcid=500020&playurlVersion=ZQ-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=0968cb27e9cc7a1815be2616e0923dc7&sv=10004&ct=android&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=6c4f88c3640da8cfc4e08fb4455f11b3
辽宁卫视,https://hlsbkmgsplive.miguvideo.com/migu/kailu/lnwshd265/54/20200407/01.m3u8?&HlsSubType=&encrypt=
黑龙江卫视,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/nxjj/51/20251225/01.m3u8?msisdn=0975853ca82b1ab6f58d01b61d362c2d&mdspid=&spid=600697&netType=0&sid=5910022409&pid=2028597139&timestamp=20260905051043&Channel_ID=0116_2600034600-99000-201600010041377&ProgramID=738906901&ParentNodeID=-99&assertID=5910022409&client_ip=58.144.197.32&SecurityKey=20260905051043&promotionId=&mvid=5900004349&mcid=500020&playurlVersion=ZQ-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=2a702d42402aa5c67c12c65fcfa36e10&sv=10004&ct=android&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=ad69d2692c86b5de1a83d269df2e8dbc
东南卫视,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/dongnanws/51/20230724/01.m3u8?msisdn=0975853ca82b1ab6f58d01b61d362c2d&mdspid=&spid=600717&netType=0&sid=5910022182&pid=2028597139&timestamp=20260905050917&Channel_ID=0116_2600034600-99000-201600010022022&ProgramID=849116810&ParentNodeID=-99&assertID=5910022182&client_ip=58.144.197.32&SecurityKey=20260905050917&promotionId=&mvid=5900006229&mcid=500020&playurlVersion=ZQ-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=b896fc86e6a3b883ec9a7a1d2065d908&sv=10004&ct=android&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=7c230789d35b9a8fea9023f736c38ee3
东南卫视,https://hlsbkmgsplive.miguvideo.com/migu/kailu/dongnanws/51/20230724/01.m3u8?&HlsSubType=&encrypt=
重庆卫视,http://38.75.136.137:98/gslb/dsdqpub/cqwshd.m3u8?auth=testpub
重庆卫视,https://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/chongqing/1000/01.m3u8?&HlsSubType=&encrypt=
吉林卫视,https://hlsbkmgsplive.miguvideo.com/envivo_v/2018/SD/jilin/1000/01.m3u8?&HlsSubType=&encrypt=
兵团卫视,https://hlsbkmgsplive.miguvideo.com/migu/kailu/btws/51/20250804/01.m3u8?&HlsSubType=&encrypt=
