热门,#genre#
CCTV4中文国际,https://hlszymgsplive.miguvideo.com:443/wd_r2/cctv/cctv4hd/600/index.m3u8?msisdn=16136158-41a8-4096-aeef-e5f4a1574d6e&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20250503100124&Channel_ID=0131_10010001005&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=2408:8214:8222:b4c0:f485:519f:640a:d7cc&SecurityKey=20250503100124&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-8.4.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=0&encrypt=b138263ecb77b5ca7b062f54b3240504&sv=10000&ct=h5
CCTV6电影,https://hlszymgsplive.miguvideo.com:443/wd_r2/2018/ocn/cctv6hd/1000/index.m3u8?msisdn=16136158-41a8-4096-aeef-e5f4a1574d6e&mdspid=&spid=699004&netType=0&sid=5500212872&pid=2028597139&timestamp=20250503100133&Channel_ID=0131_10010001005&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=2408:8214:8222:b4c0:f485:519f:640a:d7cc&SecurityKey=20250503100133&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-8.4.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=0&encrypt=e013f4d3f982fb3145d845f5d5a0af91&sv=10000&ct=h5
CCTV7国防军事,https://hlszymgsplive.miguvideo.com:443/migu/kailu/20200324/cctv7hd/50/index.m3u8?msisdn=16136158-41a8-4096-aeef-e5f4a1574d6e&mdspid=&spid=699004&netType=0&sid=5501083622&pid=2028597139&timestamp=20250503100136&Channel_ID=0131_10010001005&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=2408:8214:8222:b4c0:f485:519f:640a:d7cc&SecurityKey=20250503100136&promotionId=&mvid=5102910278&mcid=500020&playurlVersion=WX-A1-8.4.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=0&encrypt=f9ca8a8b99eb03ed50e376abb453411c&sv=10000&ct=h5
CCTV8电视剧,https://hlszymgsplive.miguvideo.com:443/wd_r2/2018/ocn/cctv8hd/1000/index.m3u8?msisdn=16136158-41a8-4096-aeef-e5f4a1574d6e&mdspid=&spid=699004&netType=0&sid=5500212868&pid=2028597139&timestamp=20250503100139&Channel_ID=0131_10010001005&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=2408:8214:8222:b4c0:f485:519f:640a:d7cc&SecurityKey=20250503100139&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=WX-A1-8.4.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=0&encrypt=786fe084040430863d0719f252b07916&sv=10000&ct=h5
CCTV9纪录,https://hlszymgsplive.miguvideo.com:443/migu/kailu/20200324/cctv9hd/50/index.m3u8?msisdn=16136158-41a8-4096-aeef-e5f4a1574d6e&mdspid=&spid=699004&netType=0&sid=5501083624&pid=2028597139&timestamp=20250503100143&Channel_ID=0131_10010001005&ProgramID=673168140&ParentNodeID=-99&assertID=5501083624&client_ip=2408:8214:8222:b4c0:f485:519f:640a:d7cc&SecurityKey=20250503100143&promotionId=&mvid=5102910384&mcid=500020&playurlVersion=WX-A1-8.4.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=0&encrypt=245582461f7424e21df970d12fc0405f&sv=10000&ct=h5
CCTV10科教,https://hlszymgsplive.miguvideo.com:443/wd_r2/2018/ocn/cctv10hd/1000/index.m3u8?msisdn=16136158-41a8-4096-aeef-e5f4a1574d6e&mdspid=&spid=699004&netType=0&sid=5500212874&pid=2028597139&timestamp=20250503100146&Channel_ID=0131_10010001005&ProgramID=624878405&ParentNodeID=-99&assertID=5500212874&client_ip=2408:8214:8222:b4c0:f485:519f:640a:d7cc&SecurityKey=20250503100146&promotionId=&mvid=5100001696&mcid=500020&playurlVersion=WX-A1-8.4.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=0&encrypt=2f2f38f67441072d705d316b5d6ccb3a&sv=10000&ct=h5
CCTV11戏曲,https://hlszymgsplive.miguvideo.com:443/migu/kailu/cctv11hd/50/20200103/index.m3u8?msisdn=16136158-41a8-4096-aeef-e5f4a1574d6e&mdspid=&spid=699004&netType=0&sid=5500988610&pid=2028597139&timestamp=20250503100149&Channel_ID=0131_10010001005&ProgramID=667987558&ParentNodeID=-99&assertID=5500988610&client_ip=2408:8214:8222:b4c0:f485:519f:640a:d7cc&SecurityKey=20250503100149&promotionId=&mvid=5102751362&mcid=500020&playurlVersion=WX-A1-8.4.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=0&encrypt=1d9bb156cd904eeca1bb5e3453a33b96&sv=10000&ct=h5
CCTV12社会与法,https://hlszymgsplive.miguvideo.com:443/migu/kailu/20200324/cctv12hd/50/index.m3u8?msisdn=16136158-41a8-4096-aeef-e5f4a1574d6e&mdspid=&spid=699004&netType=0&sid=5501083627&pid=2028597139&timestamp=20250503100152&Channel_ID=0131_10010001005&ProgramID=673168185&ParentNodeID=-99&assertID=5501083627&client_ip=2408:8214:8222:b4c0:f485:519f:640a:d7cc&SecurityKey=20250503100152&promotionId=&mvid=5102910389&mcid=500020&playurlVersion=WX-A1-8.4.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=0&encrypt=10043e8241bd201090af03aee0a06aa4&sv=10000&ct=h5
CCTV13新闻,https://hlszymgsplive.miguvideo.com:443/envivo_x/2018/SD/cctv13/1000/index.m3u8?msisdn=16136158-41a8-4096-aeef-e5f4a1574d6e&mdspid=&spid=699004&netType=0&sid=2202208864&pid=2028597139&timestamp=20250503100155&Channel_ID=0131_10010001005&ProgramID=608807423&ParentNodeID=-99&assertID=2202208864&client_ip=2408:8214:8222:b4c0:f485:519f:640a:d7cc&SecurityKey=20250503100155&promotionId=&mvid=2202208864&mcid=500020&playurlVersion=WX-A1-8.4.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=0&encrypt=64aac646673652e9ec8409ef7491bea5&sv=10000&ct=h5
CCTV14少儿,https://hlszymgsplive.miguvideo.com:443/wd_r2/2018/ocn/cctv14hd/1000/index.m3u8?msisdn=16136158-41a8-4096-aeef-e5f4a1574d6e&mdspid=&spid=699004&netType=0&sid=5500212875&pid=2028597139&timestamp=20250503100158&Channel_ID=0131_10010001005&ProgramID=624878440&ParentNodeID=-99&assertID=5500212875&client_ip=2408:8214:8222:b4c0:f485:519f:640a:d7cc&SecurityKey=20250503100158&promotionId=&mvid=5100001697&mcid=500020&playurlVersion=WX-A1-8.4.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=0&encrypt=1887a2293ad7c44c861e10960ef4b112&sv=10000&ct=h5
